Code du cours|Description du cours|Année d'études|Parcours ou destination|Effectif
AWT3M|Arts visuels - art expérimental|11e année|Filière préuniversitaire/précollégiale|326
AWT3O|Arts visuels - art expérimental|11e année|Ouvert|213
AWT4M|Arts visuels - art expérimental|12e année|Filière préuniversitaire/précollégiale|786
AWU1O|Arts visuels - histoire de l'art et cultures mondiales|9e année|Ouvert|37
AWU2O|Arts visuels - histoire de l'art et cultures mondiales|10e année|Ouvert|196
AWU3M|Arts visuels - histoire de l'art et cultures mondiales|11e année|Filière préuniversitaire/précollégiale|36
AWU3O|Arts visuels - histoire de l'art et cultures mondiales|11e année|Ouvert|101
AWU4M|Arts visuels - histoire de l'art et cultures mondiales|12e année|Filière préuniversitaire/précollégiale|347
BAA4T|Accounting|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BAB4T|Accounting Basics|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BAD4T|Administrative Accounting|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BAF3M|Introduction à la comptabilité financière|11e année|Filière préuniversitaire/précollégiale|26591
BAI3E|Introduction à la comptabilité|11e année|Filière préemploi|334
BAN4E|comptabilité de la petite entreprise|12e année|Filière préemploi|13
BAT4M|Principes de comptabilité financière|12e année|Filière préuniversitaire/précollégiale|8537
BBA4T|Introduction to Business|12e année|Cours collégial, enseigné par le collège (DRC)|32
BBB4E|Introduction au commerce international|12e année|Filière préemploi|<10
BBB4M|Principes de commerce international|12e année|Filière préuniversitaire/précollégiale|17207
BBF4T|Business, Its Nature and Environment|12e année|Cours collégial, enseigné par le collège (DRC)|22
BBG4T|Principes de gestion|12e année|Cours collégial, enseigné par le collège (DRC)|22
BBI1O|Initiation aux affaires|9e année|Ouvert|4206
BBI2O|Initiation aux affaires|10e année|Ouvert|28711
BBJ4T|Introduction to Business Management|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BBR4T|Gestion|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BCB4T|Consumer Behaviour|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BCF4T|Customer Service|12e année|Cours collégial, enseigné par le collège (DRC)|33
BCH4T|Communications et relations interpersonnelles|12e année|Cours collégial, enseigné par le collège (DRC)|10
BCK4T|Business Communications II|12e année|Cours collégial, enseigné par le collège (DRC)|13
BDA4T|Entrepreneurship|12e année|Cours collégial, enseigné par le collège (DRC)|22
BDB4T|Entrepreneurship and Small Business|12e année|Cours collégial, enseigné par le collège (DRC)|17
BDE4T|Entrepreneurial Exploration|12e année|Cours collégial, enseigné par le collège (DRC)|24
BDI3C|Introduction à l'entrepreneuriat|11e année|Filière précollégiale|9359
BDP3O|Esprit entrepreneurial|11e année|Ouvert|1301
BDV4C|Entrepreneuriat : planification d'une entreprise|12e année|Filière précollégiale|1699
BMA4T|Introduction to Marketing|12e année|Cours collégial, enseigné par le collège (DRC)|43
BMB4T|Marketing|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BMC4T|Visual Merchandising|12e année|Cours collégial, enseigné par le collège (DRC)|17
BMD4T|The Business of Advertising|12e année|Cours collégial, enseigné par le collège (DRC)|12
BME4T|Principes de marketing|12e année|Cours collégial, enseigné par le collège (DRC)|21
BMG4T|Introduction to Sport Marketing|12e année|Cours collégial, enseigné par le collège (DRC)|17
BMI3C|Principes de marketing|11e année|Filière précollégiale|16754
BMK4T|Pitching the Campaign|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BMM4T|Foundations of Marketing|12e année|Cours collégial, enseigné par le collège (DRC)|21
BMX3E|Marketing de la vente au détail et des services|11e année|Filière préemploi|1321
BOA4T|Human Relations|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BOC4T|Office Procedures|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BOE4T|Gestion de projets|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BOG4E|Gestion d'une entreprise|12e année|Filière préemploi|491
BOH4M|Principes de gestion|12e année|Filière préuniversitaire/précollégiale|17732
BON4T|Conflict Management|12e année|Cours collégial, enseigné par le collège (DRC)|48
BOO4T|Principles of Human Resource Management|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BTA3O|Technologies de l'information et de la communication : environnement informatisé|11e année|Ouvert|3886
BTB4T|Business Computer Application|12e année|Cours collégial, enseigné par le collège (DRC)|<10
BTT1O|Introduction aux technologies de l'information et de la communication|9e année|Ouvert|36294
BTT2O|Introduction aux technologies de l'information et de la communication|10e année|Ouvert|3597
BTX4C|Technologies de l'information et de la communication : solutions multimédias|12e année|Filière précollégiale|161
BTX4E|Technologies de l'information et de la communication en milieu de travail|12e année|Filière préemploi|221
CCL4O|Cours de compétences linguistiques des écoles secondaires de l'Ontario|12e année|Ouvert|695
CGC1D|Enjeux géographiques du Canada|9e année|Cours théorique|106112
CGC1P|Enjeux géographiques du Canada|9e année|Cours appliqué|41253
CGD3M|Géographie régionale|11e année|Filière préuniversitaire/précollégiale|380
CGF3M|Nature en action : un monde physique|11e année|Filière préuniversitaire/précollégiale|3586
CGG3O|Voyages et tourisme : une perspective géographique|11e année|Ouvert|10760
CGO4M|Les technologies spatiales en action|12e année|Filière préuniversitaire/précollégiale|268
CGR4E|Gestion durable des ressources et de l'environnement|12e année|Filière préemploi|219
CGR4M|Environnement et gestion des ressources|12e année|Filière préuniversitaire/précollégiale|3650
CGT3O|Introduction aux technologies spatiales|11e année|Ouvert|76
CGU4M|Le Canada et le monde : l'environnement urbain|12e année|Filière préuniversitaire/précollégiale|524
CGW4C|Problèmes mondiaux : une analyse géographique|12e année|Filière précollégiale|588
CGW4U|Problèmes mondiaux : une analyse géographique|12e année|Filière préuniversitaire|10650
CHA3U|Historie des États-Unis|11e année|Filière préuniversitaire|5249
CHB4T|History of Western Civilization|12e année|Cours collégial, enseigné par le collège (DRC)|<10
CHC2D|Histoire du Canada depuis la Première Guerre mondiale|10e année|Cours théorique|97190
CHC2P|Histoire du Canada depuis la Première Guerre mondiale|10e année|Cours appliqué|39096
CHE3O|Origines et citoyenneté : histoire d'une communauté éthique au Canada|11e année|Ouvert|197
CHE4T|World Civilization|12e année|Cours collégial, enseigné par le collège (DRC)|26
CHF4U|L'Ontario français|12e année|Filière préuniversitaire|<10
CHI4U|Histoire canadienne : identité et culture|12e année|Filière préuniversitaire|1299
CHM4E|Aventures en histoire mondiale|12e année|Filière préemploi|1378
CHT3O|Histoire mondiale depuis 1900 : grands courants et événements|11e année|Ouvert|1387
CHV2O|Civisme et citoyenneté|10e année|Ouvert|129611
CHW3M|Histoire mondiale jusqu'à la fin du XVe siècle|11e année|Filière préuniversitaire/précollégiale|11994
CHY4C|Histoire mondiale depuis le XVe siècle|12e année|Filière précollégiale|1243
CHY4U|Histoire mondiale depuis le XVe siècle|12e année|Filière préuniversitaire|11961
CIA4U|Analyse des grands enjeux économiques contemporains|12e année|Filière préuniversitaire|8802
CIC4E|Choix économiques : finances personnels|12e année|Filière préemploi|187
